Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Demand,House_Supply
2015,Johor,Johor Bahru,3,Condominium,3.21,3.83,297965.0,3.1,1516.1,50.0,290000.0,27009.0,27059.0
2015,Johor,Johor Bahru,3,Detached House,3.21,3.83,297965.0,3.1,1516.1,44.0,365000.0,18618.0,18662.0
2015,Johor,Johor Bahru,3,Flat,3.21,3.83,297965.0,3.1,1516.1,64.0,140000.0,20032.0,20096.0
2015,Johor,Johor Bahru,3,Semi-Detached House,3.21,3.83,297965.0,3.1,1516.1,157.0,740000.0,14871.0,15028.0
2015,Johor,Johor Bahru,3,Terraced House,3.21,3.83,297965.0,3.1,1516.1,118.0,360000.0,188119.0,188237.0
2015,Johor,Johor Bahru,3,Town House,3.21,3.83,297965.0,3.1,1516.1,0.0,329000.0,1069.0,1069.0
2015,Johor,Johor Bahru,4,Cluster House,3.16,3.6,307745.0,3.1,1516.1,88.0,750000.0,4056.0,4144.0
2015,Johor,Johor Bahru,4,Condominium,3.16,3.6,307745.0,3.1,1516.1,50.0,280000.0,27409.0,27459.0
2015,Johor,Johor Bahru,4,Detached House,3.16,3.6,307745.0,3.1,1516.1,36.0,337500.0,18675.0,18711.0
2015,Johor,Johor Bahru,4,Flat,3.16,3.6,307745.0,3.1,1516.1,64.0,117000.0,20032.0,20096.0
2015,Johor,Johor Bahru,4,Semi-Detached House,3.16,3.6,307745.0,3.1,1516.1,151.0,790000.0,15023.0,15174.0
2015,Johor,Johor Bahru,4,Terraced House,3.16,3.6,307745.0,3.1,1516.1,217.0,380000.0,188838.0,189055.0
2015,Johor,Johor Bahru,4,Town House,3.16,3.6,307745.0,3.1,1516.1,62.0,260500.0,1007.0,1069.0
2015,Johor,Kluang,1,Cluster House,3.24,1.1,282255.0,3.1,328.4,10.0,531475.0,294.0,304.0
2015,Johor,Kluang,1,Condominium,3.24,1.1,282255.0,3.1,328.4,0.0,198750.0,363.0,363.0
2015,Johor,Kluang,1,Detached House,3.24,1.1,282255.0,3.1,328.4,33.0,285000.0,6041.0,6074.0
2015,Johor,Kluang,1,Flat,3.24,1.1,282255.0,3.1,328.4,0.0,80000.0,64.0,64.0
2015,Johor,Kluang,1,Semi-Detached House,3.24,1.1,282255.0,3.1,328.4,65.0,468000.0,813.0,878.0
2015,Johor,Kluang,1,Terraced House,3.24,1.1,282255.0,3.1,328.4,522.0,204000.0,9990.0,10512.0
2015,Johor,Kluang,1,Town House,3.24,1.1,282255.0,3.1,328.4,0.0,270000.0,48.0,48.0
2015,Johor,Kluang,2,Cluster House,3.23,2.8,288975.0,3.1,328.4,10.0,531475.0,146.0,156.0
2015,Johor,Kluang,2,Condominium,3.23,2.8,288975.0,3.1,328.4,0.0,198750.0,0.0,0.0
2015,Johor,Kluang,2,Detached House,3.23,2.8,288975.0,3.1,328.4,33.0,250000.0,6719.0,6752.0
2015,Johor,Kluang,2,Flat,3.23,2.8,288975.0,3.1,328.4,0.0,82000.0,560.0,560.0
2015,Johor,Kluang,2,Semi-Detached House,3.23,2.8,288975.0,3.1,328.4,44.0,464000.0,4356.0,4400.0
2015,Johor,Kluang,2,Terraced House,3.23,2.8,288975.0,3.1,328.4,522.0,180000.0,27720.0,28242.0
2015,Johor,Kluang,2,Town House,3.23,2.8,288975.0,3.1,328.4,0.0,270000.0,0.0,0.0
2015,Johor,Kluang,3,Cluster House,3.21,3.83,297965.0,3.1,328.4,8.0,390000.0,296.0,304.0
2015,Johor,Kluang,3,Condominium,3.21,3.83,297965.0,3.1,328.4,0.0,198750.0,56.0,56.0
2015,Johor,Kluang,3,Detached House,3.21,3.83,297965.0,3.1,328.4,0.0,260000.0,6074.0,6074.0
2015,Johor,Kluang,3,Flat,3.21,3.83,297965.0,3.1,328.4,0.0,80000.0,64.0,64.0
2015,Johor,Kluang,3,Semi-Detached House,3.21,3.83,297965.0,3.1,328.4,35.0,355000.0,843.0,878.0
2015,Johor,Kluang,3,Terraced House,3.21,3.83,297965.0,3.1,328.4,338.0,185000.0,10208.0,10546.0
2015,Johor,Kluang,3,Town House,3.21,3.83,297965.0,3.1,328.4,0.0,270000.0,48.0,48.0
2015,Johor,Kluang,4,Cluster House,3.16,3.6,307745.0,3.1,328.4,8.0,471060.0,296.0,304.0
2015,Johor,Kluang,4,Condominium,3.16,3.6,307745.0,3.1,328.4,0.0,198750.0,56.0,56.0
2015,Johor,Kluang,4,Detached House,3.16,3.6,307745.0,3.1,328.4,0.0,205000.0,6074.0,6074.0
2015,Johor,Kluang,4,Flat,3.16,3.6,307745.0,3.1,328.4,0.0,80000.0,64.0,64.0
2015,Johor,Kluang,4,Semi-Detached House,3.16,3.6,307745.0,3.1,328.4,35.0,464500.0,843.0,878.0
2015,Johor,Kluang,4,Terraced House,3.16,3.6,307745.0,3.1,328.4,338.0,166500.0,10208.0,10546.0
2015,Johor,Kluang,4,Town House,3.16,3.6,307745.0,3.1,328.4,0.0,270000.0,48.0,48.0
2015,Johor,Kota Tinggi,1,Cluster House,3.24,1.1,282255.0,3.1,213.9,0.0,551900.0,156.0,156.0
2015,Johor,Kota Tinggi,1,Condominium,3.24,1.1,282255.0,3.1,213.9,0.0,190000.0,0.0,0.0
2015,Johor,Kota Tinggi,1,Detached House,3.24,1.1,282255.0,3.1,213.9,0.0,180000.0,6743.0,6743.0
2015,Johor,Kota Tinggi,1,Flat,3.24,1.1,282255.0,3.1,213.9,0.0,81000.0,560.0,560.0
2015,Johor,Kota Tinggi,1,Semi-Detached House,3.24,1.1,282255.0,3.1,213.9,6.0,370000.0,4354.0,4360.0
2015,Johor,Kota Tinggi,1,Terraced House,3.24,1.1,282255.0,3.1,213.9,60.0,195000.0,27880.0,27940.0
2015,Johor,Kota Tinggi,1,Town House,3.24,1.1,282255.0,3.1,213.9,0.0,545000.0,0.0,0.0
2015,Johor,Kota Tinggi,2,Cluster House,3.23,2.8,288975.0,3.1,213.9,0.0,819800.0,304.0,304.0
2015,Johor,Kota Tinggi,2,Condominium,3.23,2.8,288975.0,3.1,213.9,0.0,147500.0,56.0,56.0
2015,Johor,Kota Tinggi,2,Detached House,3.23,2.8,288975.0,3.1,213.9,0.0,160000.0,6074.0,6074.0
2015,Johor,Kota Tinggi,2,Flat,3.23,2.8,288975.0,3.1,213.9,0.0,81000.0,64.0,64.0
2015,Johor,Kota Tinggi,2,Semi-Detached House,3.23,2.8,288975.0,3.1,213.9,6.0,440600.0,872.0,878.0
2015,Johor,Kota Tinggi,2,Terraced House,3.23,2.8,288975.0,3.1,213.9,0.0,180000.0,10546.0,10546.0
2015,Johor,Kota Tinggi,2,Town House,3.23,2.8,288975.0,3.1,213.9,0.0,630000.0,48.0,48.0
2015,Johor,Kota Tinggi,3,Cluster House,3.21,3.83,297965.0,3.1,213.9,0.0,600000.0,156.0,156.0
2015,Johor,Kota Tinggi,3,Condominium,3.21,3.83,297965.0,3.1,213.9,0.0,150000.0,0.0,0.0
2015,Johor,Kota Tinggi,3,Detached House,3.21,3.83,297965.0,3.1,213.9,0.0,255000.0,6752.0,6752.0
